set,tugas,model,model_official,n_item,n_dinilai,benar,benar_tertahan,skor_publik,skor_tertahan,biaya_usd,cap,templat,penilai,versi_soal,versi_kunci,waktu,lengkap,parsial,lajur
jv-A,pilihan-ganda,glm-5.3,z-ai/glm-5.3,38,38,32,9,0.8519,0.8182,0.00887624,2400,mcq-py1,mcq-py1,c0c83850858e,18e8ec378904,2026-08-24T04:59:50+0700,,False,uji-coba
jv-A,pilihan-ganda,hy-mt2-1.8b,tencent/hy-mt2-1.8b,38,38,13,1,0.4444,0.0909,0.000245728,2400,mcq-py1,mcq-py1,c0c83850858e,18e8ec378904,2026-08-24T01:52:56+0700,,False,uji-coba
jv-A,pilihan-ganda,ox-alpha,stealth/ox-alpha,38,38,27,7,0.7407,0.6364,0,2400,mcq-py1,mcq-py1,c0c83850858e,18e8ec378904,2026-08-24T02:27:00+0700,,False,uji-coba
jv-A,terbuka,glm-5.3,z-ai/glm-5.3,8,8,8,2,0.9792,0.9,0.00338308,2400,open-py1,open-py1,9f2d79048c32,5275ed0486ca,2026-08-24T05:05:13+0700,,False,uji-coba
jv-A,terbuka,hy-mt2-1.8b,tencent/hy-mt2-1.8b,8,8,0,0,0.0,0.0,0.0004899209999999999,2400,open-py1,open-py1,9f2d79048c32,5275ed0486ca,2026-08-24T01:55:13+0700,,False,uji-coba
jv-A,terbuka,ox-alpha,stealth/ox-alpha,8,8,7,1,0.9542,0.5,0,2400,open-py1,open-py1,9f2d79048c32,5275ed0486ca,2026-08-24T02:28:33+0700,,False,uji-coba
