item_id,model,tugas,penilai,benar,latensi_ms,biaya_usd,tokens_out,cap_token,dijalankan_pada
id-b1-006,solar-pro4,pilihan-ganda,mcq-py1,1,907,0.0000066000,2,600,2026-08-17T22:15:53+0700
id-b1-007,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1634,0.0002390000,4,600,2026-08-17T23:05:54+0700
id-b1-007,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,3020,0.0000357200,126,600,2026-08-17T22:58:11+0700
id-b1-007,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,2427,0.0000638000,78,600,2026-08-14T02:57:57+0700
id-b1-007,gemma-4-31b,pilihan-ganda,mcq-py1,1,520,0.0000147200,2,600,2026-08-17T22:41:33+0700
id-b1-007,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,3135,0.0001480000,97,600,2026-08-17T22:46:27+0700
id-b1-007,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1512,0.0000277400,2,600,2026-08-17T22:53:01+0700
id-b1-007,ling-3.0-flash,pilihan-ganda,mcq-py1,1,1453,0.0000177240,212,600,2026-08-17T22:35:00+0700
id-b1-007,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,548,,2,600,2026-08-17T22:00:18+0700
id-b1-007,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,499,0.0000085600,2,600,2026-08-17T22:25:07+0700
id-b1-007,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,836,0.0000085600,2,600,2026-08-13T14:45:34+0700
id-b1-007,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,0,837,0.0000097272,2,600,2026-08-17T22:30:29+0700
id-b1-007,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,0,1766,0.0000177600,1,600,2026-08-14T03:01:55+0700
id-b1-007,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,530,,2,600,2026-08-17T22:02:35+0700
id-b1-007,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,511,,2,600,2026-08-17T22:09:15+0700
id-b1-007,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,0,946,,2,600,2026-08-17T22:04:46+0700
id-b1-007,solar-pro4,pilihan-ganda,mcq-py1,1,20881,0.0000065400,2,600,2026-08-17T22:16:15+0700
id-b1-008,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1759,0.0002210000,4,600,2026-08-17T23:05:57+0700
id-b1-008,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,2211,0.0000261400,79,600,2026-08-17T22:58:14+0700
id-b1-008,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,10574,0.0000222514,41,600,2026-08-14T02:58:09+0700
id-b1-008,gemma-4-31b,pilihan-ganda,mcq-py1,1,477,0.0000136400,2,600,2026-08-17T22:41:34+0700
id-b1-008,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,1189,0.0000352000,5,600,2026-08-17T22:46:30+0700
id-b1-008,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1472,0.0000256400,2,600,2026-08-17T22:53:04+0700
id-b1-008,ling-3.0-flash,pilihan-ganda,mcq-py1,1,1563,0.0000161910,193,600,2026-08-17T22:35:03+0700
id-b1-008,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,426,,2,600,2026-08-17T22:00:19+0700
id-b1-008,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,598,0.0000078100,2,600,2026-08-17T22:25:08+0700
id-b1-008,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,621,0.0000078100,2,600,2026-08-13T14:45:36+0700
id-b1-008,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,2240,0.0000090049,2,600,2026-08-17T22:30:33+0700
id-b1-008,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,635,0.0000185000,2,600,2026-08-14T03:01:57+0700
id-b1-008,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,436,,2,600,2026-08-17T22:02:36+0700
id-b1-008,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,497,,2,600,2026-08-17T22:09:17+0700
id-b1-008,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,1,856,,2,600,2026-08-17T22:04:48+0700
id-b1-008,solar-pro4,pilihan-ganda,mcq-py1,1,1584,0.0000062100,2,600,2026-08-17T22:16:17+0700
id-b1-009,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,3607,0.0002260000,4,600,2026-08-17T23:06:02+0700
id-b1-009,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,12782,0.0000632000,82,600,2026-08-17T22:58:28+0700
id-b1-009,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,4169,0.0000287560,82,600,2026-08-14T02:58:14+0700
id-b1-009,gemma-4-31b,pilihan-ganda,mcq-py1,1,865,0.0000152800,2,600,2026-08-17T22:41:37+0700
id-b1-009,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,2273,0.0000352000,5,600,2026-08-17T22:46:33+0700
id-b1-009,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1926,0.0000257800,2,600,2026-08-17T22:53:07+0700
id-b1-009,ling-3.0-flash,pilihan-ganda,mcq-py1,1,1410,0.0000131250,142,600,2026-08-17T22:35:05+0700
id-b1-009,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,0,472,,2,600,2026-08-17T22:00:21+0700
id-b1-009,mistral-small-3-2501,pilihan-ganda,mcq-py1,0,528,0.0000079600,2,600,2026-08-17T22:25:10+0700
id-b1-009,mistral-small-3-2501,pilihan-ganda,mcq-py1,0,462,0.0000079600,2,600,2026-08-13T14:45:37+0700
id-b1-009,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,0,1733,0.0000239200,1,600,2026-08-17T22:30:36+0700
id-b1-009,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,0,637,0.0000090531,2,600,2026-08-14T03:01:59+0700
id-b1-009,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,401,,2,600,2026-08-17T22:02:38+0700
id-b1-009,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,439,,2,600,2026-08-17T22:09:19+0700
id-b1-009,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,0,1516,,2,600,2026-08-17T22:04:51+0700
id-b1-009,solar-pro4,pilihan-ganda,mcq-py1,1,881,0.0000063000,2,600,2026-08-17T22:16:20+0700
id-b1-010,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1520,0.0003780000,4,600,2026-08-17T23:06:04+0700
id-b1-010,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,4791,0.0000583909,146,600,2026-08-17T22:58:34+0700
id-b1-010,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,3814,0.0000364000,65,600,2026-08-14T02:58:19+0700
id-b1-010,gemma-4-31b,pilihan-ganda,mcq-py1,1,746,0.0000232700,2,600,2026-08-17T22:41:38+0700
id-b1-010,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,1271,0.0000574000,5,600,2026-08-17T22:46:36+0700
id-b1-010,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1485,0.0000451000,2,600,2026-08-17T22:53:10+0700
id-b1-010,ling-3.0-flash,pilihan-ganda,mcq-py1,1,1348,0.0000186270,188,600,2026-08-17T22:35:08+0700
id-b1-010,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,547,,2,600,2026-08-17T22:00:23+0700
id-b1-010,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,482,0.0000139600,2,600,2026-08-17T22:25:12+0700
id-b1-010,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,770,0.0000139600,2,600,2026-08-13T14:45:39+0700
id-b1-010,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,1018,0.0000324000,2,600,2026-08-17T22:30:38+0700
id-b1-010,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,432,0.0000156978,2,600,2026-08-14T03:02:01+0700
id-b1-010,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,600,,2,600,2026-08-17T22:02:40+0700
id-b1-010,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,446,,2,600,2026-08-17T22:09:20+0700
id-b1-010,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,1,834,,2,600,2026-08-17T22:04:53+0700
id-b1-010,solar-pro4,pilihan-ganda,mcq-py1,1,639,0.0000098400,2,600,2026-08-17T22:16:21+0700
id-b1-011,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1443,0.0002940000,4,600,2026-08-17T23:06:07+0700
id-b1-011,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,1390,0.0000268600,55,600,2026-08-17T22:58:37+0700
id-b1-011,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,3996,0.0000322560,118,600,2026-08-14T02:58:24+0700
id-b1-011,gemma-4-31b,pilihan-ganda,mcq-py1,1,623,0.0000171800,2,600,2026-08-17T22:41:40+0700
id-b1-011,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,1044,0.0000464000,5,600,2026-08-17T22:46:38+0700
id-b1-011,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1447,0.0000351600,2,600,2026-08-17T22:53:13+0700
id-b1-011,ling-3.0-flash,pilihan-ganda,mcq-py1,1,965,0.0000100590,75,600,2026-08-17T22:35:10+0700
id-b1-011,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,556,,2,600,2026-08-17T22:00:25+0700
id-b1-011,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,442,0.0000110100,2,600,2026-08-17T22:25:14+0700
id-b1-011,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,495,0.0000110100,2,600,2026-08-13T14:45:40+0700
id-b1-011,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,2761,0.0000122792,2,600,2026-08-17T22:30:42+0700
id-b1-011,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,560,0.0000253000,2,600,2026-08-14T03:02:02+0700
id-b1-011,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,397,,2,600,2026-08-17T22:02:41+0700
id-b1-011,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,382,,2,600,2026-08-17T22:09:22+0700
id-b1-011,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,1,978,,2,600,2026-08-17T22:04:55+0700
id-b1-011,solar-pro4,pilihan-ganda,mcq-py1,1,10610,0.0000081900,2,600,2026-08-17T22:16:33+0700
id-b1-012,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1403,0.0002780000,4,600,2026-08-17T23:06:10+0700
id-b1-012,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,18668,0.0000478800,74,600,2026-08-17T22:58:56+0700
id-b1-012,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,2442,0.0000459200,67,600,2026-08-14T02:58:28+0700
id-b1-012,gemma-4-31b,pilihan-ganda,mcq-py1,1,670,0.0000193800,2,600,2026-08-17T22:41:42+0700
id-b1-012,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,1189,0.0000436000,5,600,2026-08-17T22:46:40+0700
id-b1-012,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1419,0.0000332000,2,600,2026-08-17T22:53:15+0700
id-b1-012,ling-3.0-flash,pilihan-ganda,mcq-py1,1,1240,0.0000153090,162,600,2026-08-17T22:35:13+0700
